,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,artist_id,genres,artist_popularity,image
0,Ariana Grande,"thank u, next",2rPE9A1vEgShuZxxzR2tZH,100,0.28,0.724,207333,0.647,0.0,"C♯, D♭",0.102,-5.642,Minor,0.0658,106.96,4,0.435,66CXWjxzNUsdJxJ2JdwvnR,"['dance pop', 'pop', 'post-teen pop']",97,https://i.scdn.co/image/25dd6de55a74237ae84e1b53e083bbd5aadade39
1,Los Unidades,E-Lo (feat. Jozzy),3eydp9rHJAskzOevEBK267,69,0.469,0.698,214720,0.797,0.00118,"D♯, E♭",0.152,-5.125,Major,0.0615,101.969,4,0.53,6VoRokuki5Bj7BEB2gZ3BF,[],62,https://i.scdn.co/image/d8bdb6f1c63403db1d53173fd43df0b5094267aa
2,Travis Scott,SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,94,0.00513,0.834,312820,0.73,0.0,"G♯, A♭",0.124,-3.714,Minor,0.222,155.008,4,0.446,0Y5tJX1MQlPlqiwlOH1tJY,"['pop', 'pop rap', 'rap']",96,https://i.scdn.co/image/dc5eba5e032c2e5bc4d42c89d61ffee5875c981f
3,Sheck Wes,Mo Bamba,1xzBco0xcoJEDXktl7Jxrr,93,0.194,0.729,183907,0.625,0.00986,E,0.248,-5.266,Minor,0.0315,146.034,4,0.261,2RDOrhPqAM4jzTRCEb19qX,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'underground hip hop']",83,https://i.scdn.co/image/c0f2b79210f155ffbc25a5a3900d3918566cec6b
4,Kodak Black,ZEZE (feat. Travis Scott & Offset),7l3E7lcozEodtVsSTCkcaA,94,0.0515,0.861,228654,0.637,3.35e-06,"G♯, A♭",0.0967,-5.692,Major,0.24,98.044,4,0.474,46SHBwWsqBkxI7EeeBEQG7,"['miami hip hop', 'pop', 'pop rap', 'rap', 'trap music']",91,https://i.scdn.co/image/7e3b329829c210144d51035a91b92ce3f55d79fb
5,Halsey,Without Me,5p7ujcrUXASCNwRaWNHR1C,95,0.297,0.752,201661,0.488,9.11e-06,"F♯, G♭",0.0936,-7.05,Minor,0.0705,136.041,4,0.533,26VFTg2z8YR0cCuwLzESi2,"['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop', 'post-teen pop']",91,https://i.scdn.co/image/61a7a59f2220299105568e7fea2e34398cce3810
6,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,1A6OTy97kk0mMdm78rHsm8,94,0.551,0.753,158053,0.498,0.0,D,0.0706,-5.61,Minor,0.0504,89.95,4,0.927,246dkjvS1zLTtiykXe5h60,"['pop', 'rap']",96,https://i.scdn.co/image/2ea5bde13cd67a16318e0f7fc6e2c37906ea6529
7,Juice WRLD,Lucid Dreams,0s3nnoMeVWz3989MkNQiRf,92,0.349,0.511,239836,0.566,0.0,"F♯, G♭",0.34,-7.23,Major,0.2,83.903,4,0.218,4MCBfE4596Uoi2O4DtmEMz,"['rap', 'trap music']",93,https://i.scdn.co/image/720efb5ff3d6a50ef776a4e01cb1f182962b0f20
8,Lil Baby,Drip Too Hard,1BxkZE73h9BN3qwuA15TA3,89,0.0945,0.9,145603,0.653,0.0,"C♯, D♭",0.528,-6.962,Major,0.289,112.503,4,0.399,5f7VJjfbwm532GiveGC0ZK,"['atl hip hop', 'pop rap', 'rap', 'trap music']",93,https://i.scdn.co/image/403df12fa0cc0bfead6a0150e1c47e6d2dfce21e
9,Marshmello,Happier,2dpaYNEQHiRxtZbfNsse99,95,0.191,0.687,214290,0.792,0.0,F,0.167,-2.749,Minor,0.0452,100.015,4,0.671,64KEffDW9EtZ1y2vBYgq8T,"['brostep', 'edm', 'egyptian pop', 'pop', 'progressive electro house']",90,https://i.scdn.co/image/65f40b9a99ebb96921d5366537cdff7d5661d914
10,XXXTENTACION,BAD!,4CH66Rxcjcj3VBHwmIBj4T,90,0.0643,0.78,94246,0.492,0.0313,F,0.174,-3.4,Major,0.0671,143.983,4,0.374,15UsOTVnJzReFVN1VCnxy4,"['emo rap', 'miami hip hop']",98,https://i.scdn.co/image/80eeb2600b7b7eddbef44bcc1fbc87aac9ab2e59
